UNITUPI,NAMAUNITUPI,UNITAP,NAMAUNITAP,UNITUP,NAMAUNITUP,KD_PROV,NAMA_PROV,KD_KAB,NAMA_KAB,KD_KEC,NAMA_KEC,KD_DESA,NAMA_DESA,STATUS_DAERAH_3T,x
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012011,PANCAR JELOBOK,TIDAK,"4.911688218188464, 96.78245462094034"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012012,ALUR GADING,TIDAK,"4.8583198539320485, 96.74062384233837"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012013,RIME RAYA,TIDAK,"4.832969950134188, 96.72330049572447"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012014,SINGAH MULO,TIDAK,"4.8514114796129375, 96.7464021772072"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012015,SIMPANG LANCANG,TIDAK,"4.869124265836001, 96.7342880446862"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012016,WIH PORAK,TIDAK,"4.872397304793397, 96.77001592779074"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012017,BENER MERIAH,TIDAK,"4.867598696643706, 96.75145023817862"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012018,MUSARA 58,TIDAK,"4.845123176592532, 96.74081319407324"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012019,MUSARA PAKAT,TIDAK,"4.853175884123301, 96.72719749608909"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012020,RATA ARA,TIDAK,"4.853601572412104, 96.76905286474671"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012021,GEMASIH,TIDAK,"4.82758970910314, 96.75358892273756"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012022,PULO INTAN,TIDAK,"4.838559616507237, 96.75871060512405"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111701,PINTU RIME GAYO,1117012023,BLANG ARA,TIDAK,"4.748268605123549, 96.96553273264543"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022001,BENER PEPANYI,TIDAK,"4.786144585936569, 96.9186748403432"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022002,BINTANG BENER,TIDAK,"4.794240496189918, 96.92166904185198"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022003,BINTANG PERMATA,TIDAK,"4.813077026384722, 96.90882667716934"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022004,BUNTUL PETERI,TIDAK,"4.826859750900936, 96.91781633788314"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022005,DARUL AMAN,TIDAK,"4.795308148472253, 96.95012713232731"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022006,GLP. WIH TENANG UKEN,TIDAK,"4.820743281089107, 96.91734530147042"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022007,PANTAN TENGAH JAYA,TIDAK,"4.795111142959954, 96.9502365222305"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022008,PENOSAN JAYA,TIDAK,"4.839561016921784, 96.95856461963582"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1117,KAB. BENER MERIAH,111702,PERMATA,1117022009,RAMUNG JAYA,TIDAK,"4.8058736963940865, 96.944648517952"
