UNIT UP,NOMOR GARDU,NAMA GARDU,ALAMAT,LATITUDE,LONGITUDE,KAPASITAS TRAFO (kVA),FEEDER,Pemakaian (%),I rata-rata (A),Unbalanced (%),Update
11229 - TAKENGON,GD112290029,KBY051-00,KELUPAK MATA,4.678307,96.816631,50,PP 02 (Tkn),"4,177,706,548",30,"3,333,333,333",0
11229 - TAKENGON,GD112290025,KBY052-00,RRI BUKIT SAMA,4.663654,96.823145,50,PP 02 (Tkn),"8,995,117,194","6,333,333,333","8,070,175,439",0
11229 - TAKENGON,GD112290383,KBY053-00,KELUPAK MATA,4.675161,96.815842,100,PP 02 (Tkn),"9,642,134,396","1,366,666,667","4,552,845,528",0
11229 - TAKENGON,GD112290505,KBY054-00,PERUMAHAN KORPRI,4.658501,96.835139,50,PP 02 (Tkn),"1,558,499,317",11,"2,424,242,424",0
11229 - TAKENGON,GD112290030,KBY055-00,KP. PINANGAN,4.641337,96.839238,100,PP 06 (Tkn),"6,956,089,248",99,"1,077,441,077",0
11229 - TAKENGON,GD112290072,KBY056-00,TEMI DELEM,4.649675,96.843412,100,PP 07 (Tkn),"6,142,891,394","8,566,666,667","1,582,360,571",0
11229 - TAKENGON,GD112290076,KBY057-00,PERUMNAS DS. SOMOL PINANGAN,4.642766,96.845228,100,PP 07 (Tkn),"6,451,446,623","9,033,333,333","9,840,098,401",0
11229 - TAKENGON,GD112290078,KBY058-00,SISIP DS.SOMOL,4.648898,96.843399,25,PP 07 (Tkn),"856,947,918","3,026,666,667","46,989,721",0
11229 - TAKENGON,GD112290082,KBY059-00,SERIBU SATU,4.6298,96.847654,50,PP 07 (Tkn),"5,129,641,672",36,"2,222,222,222",0
11229 - TAKENGON,GD112290087,KBY060-00,SISIP GENESA BARU,4.629162,96.849768,50,PP 07 (Tkn),"2,267,762,575","15,8","2,658,227,848",0
11229 - TAKENGON,GD112290094,KBY061-00,SISIP UMAH OPAT,4.638579,96.840875,50,PP 07 (Tkn),"6,774,674,247","4,793,333,333","1,242,466,389",0
11229 - TAKENGON,GD112290095,KBY062-00,SISIP PINANGAN,4.64184,96.840187,50,PP 07 (Tkn),"4,801,475,779",34,"4,509,803,922",0
11229 - TAKENGON,GD112290096,KBY063-00,SISIP DS. AMAL,4.64304,96.842539,50,PP 07 (Tkn),"720,687,096","5,166,666,667","5,591,397,849",0
11229 - TAKENGON,GD112290509,KBY064-00,GRAND BAYU HILL,4.641801,96.839182,100,PP 06 (Tkn),"3,970,976,661","5,533,333,333","2,088,353,414",0
11229 - TAKENGON,GD112290654,KBY065-00,SISIP GENESA BARU,4.629304,96.848834,50,PP 07 (Tkn),"3,776,282,604","2,656,666,667","2,718,527,813",0
11229 - TAKENGON,GD112290648,KBY066-00,SISIP PINANGAN,4.644319,96.841348,50,PP 07 (Tkn),"2,988,057,073","2,133,333,333","4,583,333,333",0
11229 - TAKENGON,GD112290511,KBY067-00,SISIP KANDEPAG,4.642803,96.83834,50,PP 06 (Tkn),"2,759,156,936","1,966,666,667","1,129,943,503",0
11229 - TAKENGON,GD112290603,KBY068-00,SMAN 2 RUJUKAN TAKENGON,4.644843,96.840606,50,PP 07 (Tkn),"2,133,886,595",15,"1,777,777,778",0
11229 - TAKENGON,GD112290604,KBY069-00,SISIP PINANGAN,4.642996,96.844497,50,PP 07 (Tkn),"1,724,622,234","1,233,333,333","1,801,801,802",0
11229 - TAKENGON,GD112290668,KBY071-00,SAMPING SAMSAT,4.636575,96.844874,160,AY 05 (Tkn),"3,692,335,393","8,333,333,333","6,133,333,333",0
11229 - TAKENGON,GD112290682,KBY072-00,MEPAR 2,4.641125,96.885363,50,AY 09 ( Tkn ),"283,398,538","2,023,333,333","3,866,007,688",0
,,KBY073-00,,4.641972,96.863882,,,,,,
,,KBY074-00,,4.633096,96.855205,,,,,,
11229 - TAKENGON,GD112290173,KET001-00,TAPAK MOGE,4.66564,96.764009,50,AK 08 (Akp),"5,521,085,154",39,"2,905,982,906",0
11229 - TAKENGON,GD112290303,LNG001-00,ISAQ,4.458183,96.880559,50,GY 09 (Isq),"3,868,854,946","2,846,666,667","2,615,144,418",0
11229 - TAKENGON,GD112290307,LNG002-00,DISPOT 1,,,25,GY 09 (Isq),"9,648,077,254","34,3","3,070,942,663",0
11229 - TAKENGON,GD112290308,LNG003-00,DESA DESPOT 2,4.465252,96.840871,25,GY 09 (Isq),"2,658,798,064","1,053,333,333","1,244,725,738",0
11229 - TAKENGON,GD112290306,LNG004-00,TRANS GLP GADENG 3,4.478437,96.865027,25,GY 09 (Isq),"305,790,106","10,1","7,722,772,277",0
11229 - TAKENGON,GD112290310,LNG005-00,DESA KEMERLANG,4.464439,96.954338,25,GY 09 (Isq),"7,273,166,167","2,626,666,667","4,280,879,865",0
11229 - TAKENGON,GD112290311,LNG006-00,DESA TIRO,4.467547,96.964749,50,GY 09 (Isq),"2,245,661,607",17,"4,705,882,353",0
11229 - TAKENGON,GD112290312,LNG007-00,DESA UNING,4.456626,97.002778,50,GY 09 (Isq),"1,756,414,989","1,366,666,667","6,666,666,667",0
11229 - TAKENGON,GD112290314,LNG008-00,DESA PANTAN NANGKA,4.427078,97.010463,25,GY 09 (Isq),"7,884,680,176","2,833,333,333","1,725,490,196",0
11229 - TAKENGON,GD112290316,LNG009-00,DESA UMANG,4.499232,97.03754,25,GY 09 (Isq),"2,705,694,302",29,"1,057,471,264",0
11229 - TAKENGON,GD112290302,LNG010-00,BPP LINGE,4.431847,96.863598,50,GY 09 (Isq),"0,740240025","0,533333333","1,333,333,333",0
11229 - TAKENGON,GD112290301,LNG011-00,DESA PREGEN,4.409952,96.86257,50,GY 09 (Isq),"1,078,236,269","7,9","6,666,666,667",0
11229 - TAKENGON,GD112290304,LNG012-00,TELKOMSEL ISAQ,4.460332,96.883344,25,GY 09 (Isq),"2,886,640,495","10,6","5,220,125,786",0
11229 - TAKENGON,GD112290309,LNG013-00,PABRIK GETAH,4.462967,96.901016,50,GY 09 (Isq),0,0,#DIV/0!,0
11229 - TAKENGON,GD112290318,LNG014-00,MITRATEL,4.457625,97.039551,25,GY 09 (Isq),"2,051,567,994","7,496,666,667","1,488,068,771",0
11229 - TAKENGON,GD112290305,LNG015-00,SIMPANG GADING,4.473776,96.873495,50,GY 09 (Isq),"2,638,521,522","1,926,666,667","6,666,666,667",0
11229 - TAKENGON,GD112290317,LNG016-00,GELAMPANG,4.463549,97.032528,25,GY 09 (Isq),"7,439,350,669","2,666,666,667","6,666,666,667",0
11229 - TAKENGON,GD112290313,LNG017-00,DESA PANTAN NANGKA,4.429084,97.011914,50,GY 09 (Isq),"1,676,163,302","1,266,666,667","350,877,193",0
11229 - TAKENGON,GD112290315,LNG018-00,SISIP MUNGKUR,4.420815,97.012522,50,GY 09 (Isq),"4,879,302,595",38,"5,087,719,298",0
11229 - TAKENGON,GD112290418,LNG019-00,KATAPANG,4.402863,97.012149,50,GY 09 (Isq),"2,365,307,828","1,743,333,333","7,864,882,091",0
11229 - TAKENGON,GD112290417,LNG020-00, KEMULO,,,50,0,0,0,#DIV/0!,0
11229 - TAKENGON,GD112290419,LNG021-00,GEWAT,4.41363,96.97433,50,GY 09 (Isq),"6,342,385,157","4,666,666,667","9,047,619,048",0
11229 - TAKENGON,GD112290605,LNG022-00,SISIP ISAQ,4.459436,96.882591,50,GY 09 (Isq),"5,066,417,968","3,753,333,333","1,782,119,597",0
11229 - TAKENGON,GD112290606,LNG023-00,KUTE RAYANG,4.457708,96.892838,50,GY 09 (Isq),"9,545,909,351",7,"380,952,381",0
11229 - TAKENGON,GD112290607,LNG024-00,PABRIK GETAH ISAQ,4.473522,96.875622,250,GY 09 (Isq),"2,156,056,845",8,"1,666,666,667",0
